artist,album,track,date
The Associates,Perhaps / The Glamour Chase,Waiting for the Loveboat,15 Jul 2019 20:41
Bauhaus,Bauhaus - 1979-1983 Volume One,Bela Lugosi's Dead,15 Jul 2019 20:31
Sad Lovers and Giants,Epic Garden Music,Colourless Dream,15 Jul 2019 20:26
Cocteau Twins,Heaven Or Las Vegas (Remastered),Heaven or Las Vegas,15 Jul 2019 20:21
Delta 5,Singles And Sessions 1979-1981,Try,15 Jul 2019 20:18
Liquid Liquid,Liquid Liquid,Optimo,15 Jul 2019 20:15
Beat Happening,Beat Happening,Our Secret,15 Jul 2019 20:12
The Sound,Jeopardy,Heartland,15 Jul 2019 20:08
Liquid Liquid,Liquid Liquid,Cavern,15 Jul 2019 20:03
The Chameleons,Strange Times,Swamp Thing,15 Jul 2019 19:57
Pere Ubu,Elitism for the People 1975-1978 (Sampler),Modern Dance,15 Jul 2019 19:53
Au Pairs,Stepping Out of Line: The Anthology,Set-Up,15 Jul 2019 19:50
Josef K,Entomology,Sorry For Laughing - Postcard 7 version,15 Jul 2019 19:47
Howard Devoto,Jerky Versions Of The Dream,Rainy Season - 2007 Digital Remaster,15 Jul 2019 19:41
James Chance,Buy Contortions 35th Anniversary (Deluxe),Designed To Kill,15 Jul 2019 19:39
Visage,Visage,Fade to Grey,15 Jul 2019 19:37
John Cooper Clarke,The Very Best Of,I Wanna Be Yours,15 Jul 2019 19:34
Pylon,Soul Jazz Records presents KEITH HARING: The World Of Keith Haring,Danger,15 Jul 2019 19:28
23 Skidoo,23 Skidoo,Dawning,15 Jul 2019 19:22
Killing Joke,Laugh? I Nearly Bought One!,Love Like Blood,15 Jul 2019 19:16
A Certain Ratio,The Graveyard and the Ballroom,Do The Du (Casse),15 Jul 2019 19:13
Anna Domino,East and West + Live In Japan,Everyday I Don't,15 Jul 2019 19:09
Cabaret Voltaire,#7885 Electropunk to Technopop 1978-1985,Sensoria (7'' Version),15 Jul 2019 19:05
Wire,Pink Flag,Mannequin - 2006 Remastered Version,15 Jul 2019 19:01
Joy Division,The Best Of,These Days,15 Jul 2019 18:59
Joy Division,Substance,Failures - 2010 Remaster,15 Jul 2019 18:55
Joy Division,Unknown Pleasures,Disorder - 2007 Remaster,15 Jul 2019 18:51
Joy Division,Substance,Leaders of Men - 2010 Remaster,15 Jul 2019 18:49
Joy Division,Substance,Novelty - 2010 Remaster,15 Jul 2019 18:44
Joy Division,Still [Collector's Edition],The Sound of Music - 2007 Remaster,15 Jul 2019 18:40
